# x2 y2
7.999847692256685239e-01 3.490614199349574565e-03
7.999848119911169286e-01 3.485711065654439628e-03
7.999849399267369154e-01 3.471001651997864153e-03
7.999851519503523578e-01 3.446485920790586573e-03
7.999854462583345649e-01 3.412163809796224610e-03
7.999858203255993949e-01 3.368035232750567209e-03
7.999862709056035914e-01 3.314100080227855120e-03
7.999867940303392322e-01 3.250358220755297789e-03
7.999873850103274009e-01 3.176809502174480875e-03
7.999880384346100826e-01 3.093453753251020934e-03
7.999887481707406156e-01 3.000290785531739123e-03
7.999895073647723676e-01 2.897320395449001773e-03
7.999903084412448573e-01 2.784542366673754387e-03
7.999911431031689890e-01 2.661956472715459703e-03
7.999920023320086226e-01 2.529562479770106845e-03
7.999928763876607007e-01 2.387360149816030071e-03
7.999937548084312677e-01 2.235349243957540991e-03
7.999946264110089356e-01 2.073529526016383399e-03
7.999954792904355738e-01 1.901900766370842859e-03
7.999963008200714487e-01 1.720462746043591564e-03
7.999970776515581417e-01 1.529215261036321032e-03
7.999977957147759167e-01 1.328158126913140226e-03
7.999984402177955367e-01 1.117291183631866948e-03
7.999989956468260832e-01 8.966143006230596537e-04
7.999994457661565583e-01 6.661273821173416482e-04
7.999997736180904928e-01 4.258303727207914937e-04
7.999999615228750027e-01 1.757232632383347467e-04
7.999999910786215196e-01 -8.419390325535183294e-05
7.999998431612198591e-01 -3.539210250955181539e-04
7.999994979242434079e-01 -6.334579354605701478e-04
7.999989347988449850e-01 -9.228043955562224843e-04
7.999981324936447091e-01 -1.221960087551755359e-03
7.999970689946060975e-01 -1.530924607268755377e-03
7.999957215649029507e-01 -1.849697456621908660e-03
7.999940667447744680e-01 -2.178278035811407297e-03
7.999920803513673739e-01 -2.516665635268221235e-03
7.999897374785671644e-01 -2.864859427351231207e-03
7.999870124968144758e-01 -3.222858457797465621e-03
7.999838790529085752e-01 -3.590661636923979903e-03
7.999803100697944203e-01 -3.968267730583474942e-03
7.999762777463348407e-01 -4.355675350872001417e-03
7.999717535570676219e-01 -4.752882946590122198e-03
7.999667082519422712e-01 -5.159888793457436534e-03
7.999611118560413514e-01 -5.576690984080321170e-03
7.999549336692813872e-01 -6.003287417673642580e-03
7.999481422660943419e-01 -6.439675789536794190e-03
7.999407054950877782e-01 -6.885853580283311792e-03
7.999325904786842578e-01 -7.341818044826377808e-03
7.999237636127366491e-01 -7.807566201118047722e-03
7.999141905661205643e-01 -8.283094818645203236e-03
7.999038362803019275e-01 -8.768400406680877321e-03
7.998926649688786750e-01 -9.263479202291979853e-03
7.998806401170958091e-01 -9.768327158103665836e-03
7.998677244813316989e-01 -1.028293992982199159e-02
7.998538800885567346e-01 -1.080731286351402365e-02
7.998390682357603421e-01 -1.134144098264648799e-02
7.998232494893477984e-01 -1.188531897488434227e-02
7.998063836845037411e-01 -1.243894117864901595e-02
7.997884299245228146e-01 -1.300230156943756044e-02
7.997693465801039014e-01 -1.357539374590401894e-02
7.997490912886091596e-01 -1.415821091570219036e-02
7.997276209532859781e-01 -1.475074588109282284e-02
7.997048917424485204e-01 -1.535299102431509494e-02
7.996808590886195223e-01 -1.596493829272313536e-02
7.996554776876321213e-01 -1.658657918368941497e-02
7.996287014976855012e-01 -1.721790472927580556e-02
7.996004837383592356e-01 -1.785890548067343639e-02
7.995707768895792267e-01 -1.850957149241253333e-02
7.995395326905375688e-01 -1.916989230634440905e-02
7.995067021385626749e-01 -1.983985693539543765e-02
7.994722354879391091e-01 -2.051945384709615017e-02
7.994360822486752394e-01 -2.120867094688557580e-02
7.993981911852160449e-01 -2.190749556119384045e-02
7.993585103151021887e-01 -2.261591442030284199e-02
7.993169869075703593e-01 -2.333391364098930110e-02
7.992735674820946601e-01 -2.406147870894905297e-02
7.992281978068678239e-01 -2.479859446100687523e-02
7.991808228972191452e-01 -2.554524506711302809e-02
7.991313870139682418e-01 -2.630141401212782518e-02
7.990798336617126463e-01 -2.706708407739755878e-02
7.990261055870450102e-01 -2.784223732212365299e-02
7.989701447767032505e-01 -2.862685506452628675e-02
7.989118924556453116e-01 -2.942091786280689319e-02
7.988512890850500980e-01 -3.022440549591033296e-02
7.987882743602428004e-01 -3.103729694408977405e-02
7.987227872085399527e-01 -3.185957036927723057e-02
7.986547657870142203e-01 -3.269120309526243190e-02
7.985841474801751438e-01 -3.353217158768267286e-02
7.985108688975645075e-01 -3.438245143382635122e-02
7.984348658712641100e-01 -3.524201732225396705e-02
7.983560734533114989e-01 -3.611084302223863118e-02
7.982744259130243325e-01 -3.698890136303051301e-02
7.981898567342275985e-01 -3.787616421294758007e-02
7.981022986123846863e-01 -3.877260245829573099e-02
7.980116834516248758e-01 -3.967818598212351916e-02
7.979179423616695743e-01 -4.059288364281288253e-02
7.978210056546516382e-01 -4.151666325251098660e-02
7.977208028418244501e-01 -4.244949155540598401e-02
7.976172626301607504e-01 -4.339133420585195716e-02
7.975103129188347850e-01 -4.434215574634475104e-02
7.973998807955874346e-01 -4.530191958535478847e-02
7.972858925329701085e-01 -4.627058797501979598e-02
7.971682735844642931e-01 -4.724812198870229074e-02
7.970469485804735355e-01 -4.823448149841487453e-02
7.969218413241849763e-01 -4.922962515211975337e-02
7.967928747872967676e-01 -5.023351035090448807e-02
7.966599711056079336e-01 -5.124609322604037343e-02
7.965230515744673445e-01 -5.226732861592724155e-02
7.963820366440790277e-01 -5.329717004292895688e-02
7.962368459146578203e-01 -5.433556969010534116e-02
7.960873981314349201e-01 -5.538247837784385230e-02
7.959336111795074498e-01 -5.643784554039738693e-02
7.957754020785281490e-01 -5.750161920233202995e-02
7.956126869772333077e-01 -5.857374595489006630e-02
7.954453811478021663e-01 -5.965417093227326495e-02
7.952733989800471193e-01 -6.074283778785089655e-02
7.950966539754269480e-01 -6.183968867029888961e-02
7.949150587408821966e-01 -6.294466419967330306e-02
7.947285249824866948e-01 -6.405770344342516520e-02
7.945369634989118968e-01 -6.517874389236014143e-02
7.943402841746983745e-01 -6.630772143654954653e-02
7.941383959733324671e-01 -6.744457034119673289e-02
7.939312069301210917e-01 -6.858922322246506498e-02
7.937186241448619395e-01 -6.974161102327162964e-02
7.935005537743045068e-01 -7.090166298905217768e-02
7.932769010243958530e-01 -7.206930664350337523e-02
7.930475701423088664e-01 -7.324446776430555694e-02
7.928124644082463757e-01 -7.442707035883254496e-02
7.925714861270178879e-01 -7.561703663985300250e-02
7.923245366193825134e-01 -7.681428700122848452e-02
7.920715162131557463e-01 -7.801873999361257084e-02
7.918123242340737722e-01 -7.923031230015641080e-02
7.915468589964098634e-01 -8.044891871222549506e-02
7.912750177933406404e-01 -8.167447210513160971e-02
7.909966968870549842e-01 -8.290688341388564864e-02
7.907117914986020457e-01 -8.414606160897421250e-02
7.904201957974736903e-01 -8.539191367216629469e-02
7.901218028909156033e-01 -8.664434457235206666e-02
7.898165048129646149e-01 -8.790325724141971608e-02
7.895041925132035843e-01 -8.916855255017375192e-02
7.891847558452351752e-01 -9.044012928429741305e-02
7.888580835548635317e-01 -9.171788412036474547e-02
7.885240632679841877e-01 -9.300171160190441599e-02
7.881825814781762141e-01 -9.429150411551893984e-02
7.878335235339906095e-01 -9.558715186706294442e-02
7.874767736259344897e-01 -9.688854285788274512e-02
7.871122147731434149e-01 -9.819556286111996712e-02
7.867397288097395247e-01 -9.950809539808264104e-02
7.863591963708720378e-01 -1.008260217146851739e-01
7.859704968784355650e-01 -1.021492207579598188e-01
7.855735085264630158e-01 -1.034775691526413355e-01
7.851681082661907674e-01 -1.048109411778267164e-01
7.847541717907907666e-01 -1.061492087437118231e-01
7.843315735197694538e-01 -1.074922413684053363e-01
7.839001865830290683e-01 -1.088399061548220859e-01
7.834598828045890029e-01 -1.101920677676560545e-01
7.830105326859667647e-01 -1.115485884104336911e-01
7.825520053892141004e-01 -1.129093278026484515e-01
7.820841687196093961e-01 -1.142741431569765653e-01
7.816068891080039105e-01 -1.156428891565740719e-01
7.811200315928208404e-01 -1.170154179324548460e-01
7.806234598017067761e-01 -1.183915790409500457e-01
7.801170359328375437e-01 -1.197712194412474812e-01
7.796006207358754381e-01 -1.211541834730115591e-01
7.790740734925813982e-01 -1.225403128340822462e-01
7.785372519970823468e-01 -1.239294465582523874e-01
7.779900125357958052e-01 -1.253214209931233225e-01
7.774322098670134462e-01 -1.267160697780363443e-01
7.768636972001469188e-01 -1.281132238220807074e-01
7.762843261746408263e-01 -1.295127112821762572e-01
7.756939468385524172e-01 -1.309143575412299310e-01
7.750924076268090879e-01 -1.323179851863653944e-01
7.744795553391424781e-01 -1.337234139872254812e-01
7.738552351177092614e-01 -1.351304608743454927e-01
7.732192904244041820e-01 -1.365389399175988006e-01
7.725715630178717763e-01 -1.379486623047129212e-01
7.719118929302263288e-01 -1.393594363198575881e-01
7.712401184434860557e-01 -1.407710673223037667e-01
7.705560760657359509e-01 -1.421833577251554737e-01
7.698596005070243997e-01 -1.435961069741555907e-01
7.691505246550081054e-01 -1.450091115265669250e-01
7.684286795503574297e-01 -1.464221648301310130e-01
7.676938943619329159e-01 -1.478350573021079695e-01
7.669459963617488718e-01 -1.492475763084002982e-01
7.661848108997397766e-01 -1.506595061427660198e-01
7.654101613783413915e-01 -1.520706280061255022e-01
7.646218692269084460e-01 -1.534807199859682392e-01
7.638197538759832206e-01 -1.548895570358678475e-01
7.630036327314348998e-01 -1.562969109551117231e-01
7.621733211484904569e-01 -1.577025503684563179e-01
7.613286324056773857e-01 -1.591062407060175321e-01
7.604693776786998205e-01 -1.605077441833094865e-01
7.595953660142733543e-01 -1.619068197814432231e-01
7.587064043039404293e-01 -1.633032232275029305e-01
7.578022972578940530e-01 -1.646967069751128221e-01
7.568828473788349331e-01 -1.660870201852160943e-01
7.559478549358917832e-01 -1.674739087070843679e-01
7.549971179386326670e-01 -1.688571150595793435e-01
7.540304321111973573e-01 -1.702363784126917357e-01
7.530475908665852369e-01 -1.716114345693824927e-01
7.520483852811274961e-01 -1.729820159477548913e-01
7.510326040691825966e-01 -1.743478515635882853e-01
7.500000335580861988e-01 -1.757086670132659012e-01
7.489504576633952970e-01 -1.770641844571321788e-01
7.478836578644642019e-01 -1.784141226033181260e-01
7.467994131803911140e-01 -1.797581966920747676e-01
7.456975001463767017e-01 -1.810961184806579027e-01
7.445776927905380926e-01 -1.824275962288110509e-01
7.434397626112193569e-01 -1.837523346848958516e-01
7.422834785548456660e-01 -1.850700350727213228e-01
7.411086069943674248e-01 -1.863803950791283193e-01
7.399149117083410054e-01 -1.876831088423870364e-01
7.387021538606963755e-01 -1.889778669414697021e-01
7.374700919812416933e-01 -1.902643563862648490e-01
7.362184819469572705e-01 -1.915422606087988922e-01
7.349470769641324175e-01 -1.928112594555409509e-01
7.336556275514003467e-01 -1.940710291808633303e-01
7.323438815237265365e-01 -1.953212424417392901e-01
7.310115839774098401e-01 -1.965615682937597586e-01
7.296584772761546267e-01 -1.977916721885561724e-01
7.282843010382746840e-01 -1.990112159727201180e-01
7.268887921250923867e-01 -2.002198578883140345e-01
7.254716846305957478e-01 -2.014172525750699827e-01
7.240327098724177457e-01 -2.026030510743794810e-01
7.225715963842074263e-01 -2.037769008351801581e-01
7.210880699094579516e-01 -2.049384457218474953e-01
7.195818533968636466e-01 -2.060873260242062077e-01
7.180526669972748799e-01 -2.072231784697776136e-01
7.165002280623269382e-01 -2.083456362383844240e-01
7.149242511448129500e-01 -2.094543289792369645e-01
7.133244480008804622e-01 -2.105488828306295856e-01
7.117005275941264975e-01 -2.116289204423790482e-01
7.100521961016721395e-01 -2.126940610011399946e-01
7.083791569222943618e-01 -2.137439202587368414e-01
7.066811106866994763e-01 -2.147781105636545063e-01
7.049577552700219130e-01 -2.157962408958329359e-01
7.032087858066310426e-01 -2.167979169049145116e-01
7.014338947073357478e-01 -2.177827409520964319e-01
6.996327716790743390e-01 -2.187503121557416441e-01
6.978051037471780793e-01 -2.197002264409064765e-01
6.959505752803027967e-01 -2.206320765929448979e-01
6.940688680181206216e-01 -2.215454523153508881e-01
6.921596611018661083e-01 -2.224399402920027025e-01
6.902226311078349941e-01 -2.233151242539777592e-01
6.882574520839334076e-01 -2.241705850511024056e-01
6.862637955893762243e-01 -2.250059007284087031e-01
6.842413307376389309e-01 -2.258206466076670138e-01
6.821897242427641395e-01 -2.266143953741662498e-01
6.801086404691294440e-01 -2.273867171689132605e-01
6.779977414847819794e-01 -2.281371796864230805e-01
6.758566871184501501e-01 -2.288653482782728177e-01
6.736851350203413302e-01 -2.295707860625884056e-01
6.714827407268378900e-01 -2.302530540396372227e-01
6.692491577292059013e-01 -2.309117112136928884e-01
6.669840375464315407e-01 -2.315463147213417949e-01
6.646870298023010992e-01 -2.321564199663945227e-01
6.623577823068458326e-01 -2.327415807615664245e-01
6.599959411422701150e-01 -2.333013494770846408e-01
6.576011507534844647e-01 -2.338352771963791710e-01
6.551730540433695626e-01 -2.343429138790076027e-01
6.527112924728930565e-01 -2.348238085309613532e-01
6.502155061662082680e-01 -2.352775093824943098e-01
6.476853340208614807e-01 -2.357035640736092619e-01
6.451204138232369267e-01 -2.361015198473310761e-01
6.425203823693708127e-01 -2.364709237508883510e-01
6.398848755912662778e-01 -2.368113228449177377e-01
6.372135286888401806e-01 -2.371222644207952590e-01
6.345059762676376058e-01 -2.374032962261927171e-01
6.317618524824480941e-01 -2.376539666989437305e-01
6.289807911869581547e-01 -2.378738252092957584e-01
6.261624260895760630e-01 -2.380624223106130588e-01
6.233063909155655002e-01 -2.382193099985816798e-01
6.204123195756241493e-01 -2.383440419789568665e-01
6.174798463410435811e-01 -2.384361739438771721e-01
6.145086060255848803e-01 -2.384952638567580108e-01
6.114982341742085659e-01 -2.385208722457589359e-01
6.084483672587894798e-01 -2.385125625058054921e-01
6.053586428809528686e-01 -2.384699012091275327e-01
6.022286999821628850e-01 -2.383924584242595179e-01
5.990581790611924085e-01 -2.382798080434292420e-01
5.958467223991043005e-01 -2.381315281182418975e-01
5.925939742918673314e-01 -2.379472012035453998e-01
5.892995812907301234e-01 -2.377264147093445246e-01
5.859631924504722367e-01 -2.374687612606056764e-01
5.825844595856456420e-01 -2.371738390647752381e-01
5.791630375349188231e-01 -2.368412522868076908e-01
5.756985844336268698e-01 -2.364706114314790164e-01
5.721907619946272616e-01 -2.360615337327318097e-01
5.686392357975554868e-01 -2.356136435497775405e-01
5.650436755865647642e-01 -2.351265727696510988e-01
5.614037555766295817e-01 -2.345999612158887193e-01
5.577191547684807738e-01 -2.340334570629710453e-01
5.539895572722352002e-01 -2.334267172561463044e-01
5.502146526397678761e-01 -2.327794079362194013e-01
5.463941362058670759e-01 -2.320912048688643647e-01
5.425277094381995013e-01 -2.313617938779871375e-01
5.386150802961005013e-01 -2.305908712826382767e-01
5.346559635981895653e-01 -2.297781443369427135e-01
5.306500813987979903e-01 -2.289233316724860468e-01
5.265971633731780788e-01 -2.280261637425655963e-01
5.224969472114485702e-01 -2.270863832676852101e-01
5.183491790212098049e-01 -2.261037456816420710e-01
5.141536137387474614e-01 -2.250780195775261561e-01
5.099100155487195085e-01 -2.240089871529208354e-01
5.056181583122010270e-01 -2.228964446535681154e-01
5.012778260029403521e-01 -2.217402028147303916e-01
4.968888131516537854e-01 -2.205400872994559835e-01
4.924509252981635887e-01 -2.192959391329274421e-01
4.879639794511564932e-01 -2.180076151320470834e-01
4.834278045553110359e-01 -2.166749883293896117e-01
4.788422419655186113e-01 -2.152979483906279634e-01
4.742071459278872081e-01 -2.138764020245187414e-01
4.695223840671899906e-01 -2.124102733845115720e-01
4.647878378803871890e-01 -2.108995044610288694e-01
4.600034032358175651e-01 -2.093440554634471984e-01
4.551689908776206384e-01 -2.077439051907974954e-01
4.502845269349148305e-01 -2.060990513901853338e-01
4.453499534352234335e-01 -2.044095111019297029e-01
4.403652288215995081e-01 -2.026753209904047781e-01
4.353303284728640143e-01 -2.008965376595701624e-01
4.302452452263347271e-01 -1.990732379521690798e-01
4.251099899023793593e-01 -1.972055192315810557e-01
4.199245918300905100e-01 -1.952934996453141725e-01
4.146890993733363118e-01 -1.933373183691350083e-01
4.094035804564002401e-01 -1.913371358308441628e-01
4.040681230883812480e-01 -1.892931339127193191e-01
3.986828358854845877e-01 -1.872055161316694694e-01
3.932478485902897170e-01 -1.850745077961636897e-01
3.877633125870393327e-01 -1.829003561390262766e-01
3.822294014119530514e-01 -1.806833304252206673e-01
3.766463112575234584e-01 -1.784237220337784313e-01
3.710142614697128360e-01 -1.761218445130691423e-01
3.653334950369256373e-01 -1.737780336086494348e-01
3.596042790695873625e-01 -1.713926472629770381e-01
3.538269052691235261e-01 -1.689660655863267358e-01
3.480016903850859933e-01 -1.664986907983003472e-01
3.421289766591352199e-01 -1.639909471393828921e-01
3.362091322545460725e-01 -1.614432807520587987e-01
3.302425516698614949e-01 -1.588561595310725993e-01
3.242296561352799311e-01 -1.562300729424849211e-01
3.181708939903198363e-01 -1.535655318112536805e-01
3.120667410412640841e-01 -1.508630680771454180e-01
3.059177008968438360e-01 -1.481232345188636113e-01
2.997243052805800834e-01 -1.453466044463646578e-01
2.934871143181575492e-01 -1.425337713614197033e-01
2.872067167981590119e-01 -1.396853485865695021e-01
2.808837304044429217e-01 -1.368019688627072905e-01
2.745188019183967265e-01 -1.338842839156238473e-01
2.681126073892487471e-01 -1.309329639919373234e-01
2.616658522705637147e-01 -1.279486973649280324e-01
2.551792715209942886e-01 -1.249321898108958773e-01
2.486536296672948732e-01 -1.218841640567521756e-01
2.420897208275414325e-01 -1.188053591996554026e-01
2.354883686924344743e-01 -1.156965300995987378e-01
2.288504264624875717e-01 -1.125584467459511129e-01
2.221767767388320713e-01 -1.093918935990529362e-01
2.154683313652930865e-01 -1.061976689080608716e-01
2.087260312193164324e-01 -1.029765840063375237e-01
2.019508459492550534e-01 -9.972946258577336520e-02
1.951437736554557378e-01 -9.645713995153271103e-02
1.883058405125344337e-01 -9.316046225881147169e-02
1.814381003301843709e-01 -8.984028573330293810e-02
1.745416340498500418e-01 -8.649747587717332431e-02
1.676175491746074719e-01 -8.313290666246730964e-02
1.606669791296513883e-01 -7.974745971398450317e-02
1.536910825508912837e-01 -7.634202348380558778e-02
1.466910424993314588e-01 -7.291749241979011975e-02
1.396680655991554831e-01 -6.947476613053060746e-02
1.326233810977734962e-01 -6.601474854942374071e-02
1.255582398465345806e-01 -6.253834710071021208e-02
1.184739132013665486e-01 -5.904647187054745672e-02
1.113716918432909320e-01 -5.554003478639724101e-02
1.042528845195846987e-01 -5.201994880824628575e-02
9.711881670731142835e-02 -4.848712713541059038e-02
8.997082920203358647e-02 -4.494248243290754896e-02
8.281027663570769692e-02 -4.138692608158900388e-02
7.563852592905540018e-02 -3.782136745640463094e-02
6.845695468503804060e-02 -3.424671323729172601e-02
6.126694953140965350e-02 -3.066386675723486999e-02
5.406990442161926924e-02 -2.707372739199404021e-02
4.686721890451933659e-02 -2.347718999583398025e-02
3.966029637434342892e-02 -1.987514438728571475e-02
3.245054231317995308e-02 -1.626847488851634882e-02
2.523936253862668622e-02 -1.265805992126678436e-02
1.802816146941735309e-02 -9.044771661539718899e-03
1.081834042153939635e-02 -5.429475754299417645e-03
3.611295946690434855e-03 -1.813031088390149037e-03
-3.591581776114322055e-03 1.803710369257971458e-03
-1.078891048635313710e-02 5.419903682259641364e-03
